"X.2","X.1","sample","scientific","maxn","family","genus","species","campaignid","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id","unique.name","full.name","X","cluster","cluster.new","number","n","coords.x1","coords.x2","class","depth.1","slope","aspect","roughness","tpi","flowdir","detrended.bathy","detr.slope","detr.flowdir","detr.tri","detr.tpi","detr.aspect","SSTmean_SSTARRS","SSTsterr_SSTARRS","SSTtrend_SSTARRS","optional"
21,21,"31","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.116007,114.860738,20200603,"10:42:00","South-west","No-take",NA,44.4,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.31","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-43,0.001461017,5.902740479,1,-0.25,128,32.40068054,0.002886975,1,0.622378528,-0.25,0.987457395,19.9140873,0.018714249,0.207060024,TRUE
22,22,"32","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.130076,114.86109,20200603,"10:49:00","South-west","No-take",NA,43.2,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.32","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-43,3.47e-18,4.712388992,0,0,64,32.78819275,0.002961827,1,0.526275158,0,1.491832137,19.92408752,0.018714249,0.197060019,TRUE
23,23,"33","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.133067,114.8627,20200603,"10:54:00","South-west","No-take",NA,43.6,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.33","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-43,3.47e-18,1.570796371,0,0,16,32.17260742,0.002961914,1,0.526275158,-7.11e-14,1.491834521,19.92408752,0.018714249,0.197060019,TRUE
24,24,"34","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.131334,114.866053,20200603,"12:18:00","South-west","No-take",NA,42.7,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.34","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-43,0.000706335,4.017650604,1,-0.125,64,31.42785072,0.00241987,1,0.465085894,-0.125,1.661233664,19.92408752,0.018714249,0.197060019,TRUE
25,25,"35","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.134801,114.869348,20200603,"12:23:00","South-west","No-take",NA,43.8,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.35","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-43,0.002170547,4.712388992,1,-0.375,32,30.81226349,0.000816293,64,0.391146332,-0.375,1.280521512,19.92408752,0.018714249,0.197060019,TRUE
26,26,"36","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.130484,114.878263,20200603,"12:29:00","South-west","No-take",NA,42.2,"Hayey","Yes",NA,"2020-06_south-west_stereo-BRUVs.36","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-41,0.000706335,5.40712738,1,0.125,32,30.02699089,0.002505664,1,0.497378558,0.125,1.293550611,19.92408752,0.018714249,0.197060019,TRUE
27,27,"37","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.126354,114.878937,20200603,"12:34:00","South-west","No-take",NA,41.2,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.37","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-42,0.002351237,5.107201099,1,-0.5,32,28.89781952,0.001380831,64,0.516146302,-0.5,0.602105796,19.87408829,0.018714249,0.197060019,TRUE
28,28,"38","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.127912,114.883938,20200603,"12:39:00","South-west","No-take",NA,41.8,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.38","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-41,3.47e-18,1.570796371,0,0,128,28.60206223,0.00296174,1,0.526275158,1.52e-12,1.491829872,19.87408829,0.018714249,0.197060019,TRUE
29,29,"39","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.132294,114.884797,20200603,"12:42:00","South-west","No-take",NA,42.2,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.39","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-41,0,1.570796371,0,0,32,28.66664696,0.002961827,1,0.526275158,1.45e-12,1.491832137,19.87408829,0.018714249,0.197060019,TRUE
30,30,"40","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.133669,114.880443,20200603,"12:46:00","South-west","No-take",NA,41.2,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.40","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-41,0,1.570796371,0,0,128,29.41140366,0.002961914,1,0.526275158,-7.11e-14,1.491834521,19.87408829,0.018714249,0.197060019,TRUE
